participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
Perpetual Federal Savings Bank,1985-03-01,Bank Holding Company,Strategic Alliance,6035,United States,213486045
Pacific City Bk,1985-08-27,Bank,Joint Venture,6022,United States,193565045
Citicorp,1985-12-31,Bank hldg co,Joint Venture,6021,United States,183248045
Pryor Govan Counts & Co,1986-01-27,Provide mortgage banking svcs,Joint Venture,6162,United States,186822045
Citicorp,1986-02-13,Bank hldg co,Joint Venture,6021,United States,186631045
Morgan Guaranty Trust Co of NY,1986-03-12,Commercial bank,Strategic Alliance,6022,United States,213715045
Chemical New York Corp,1986-04-14,Bank holding company,Joint Venture,6021,United States,186684045
Society Corp,1986-06-26,Bank holding company,Joint Venture,6021,United States,186688045
Hammond Co,1986-08-04,Mortgage bank; holding co,Joint Venture,6162,United States,185711045
Salomon Brothers Inc(Salomon),1986-09-19,Investment bank,Joint Venture,6211,United States,186826045
Citicorp,1986-11-26,Bank hldg co,Joint Venture,6021,United States,186994045
PaineWebber Group Inc,1987-12-31,Investment bank,Joint Venture,6211,United States,180327045
Drexel Burnham Lambert Inc,1987-12-31,Investment bank,Joint Venture,6211,United States,180321045
"First Fidelity Bancorp,NJ",1988-01-01,Bank holding company,Joint Venture,6021,United States,230227045
Citicorp,1988-02-19,Bank hldg co,Joint Venture,6021,United States,178416045
Citicorp Banking Corp,1988-03-23,Banking holding company,Joint Venture,6021,United States,179125045
Home Federal Savings Bank,1988-06-24,Savings bank,Joint Venture,6035,United States,178786045
Scudder Stevens & Clark Inc,1988-08-11,Investment bank,Joint Venture,6211,United States,178738045
Wasserstein Perella Group Inc,1988-08-31,Investment bank,Joint Venture,6211,United States,183196045
Wasserstein Perella Group Inc,1988-09-09,Investment bank,Joint Venture,6211,United States,178727045
"Long-Term Credit Bk Japan, NY",1988-10-27,US branch of foreign bank,Joint Venture,6081,United States,178791045
T&N Holding Co,1988-12-13,Mortgage bankers,Joint Venture,6162,United States,183589045
CS First Boston Group Inc,1988-12-31,Investment bank,Joint Venture,6211,United States,223437045
Security Pacific Bank Arizona,1988-12-31,Commercial bank,Joint Venture,6022,United States,212650045
"Marine Midland Bk,Buffalo,NY",1988-12-31,Commercial bank,Joint Venture,6021,United States,180312045
CS First Boston Group Inc,1989-03-02,Investment bank,Joint Venture,6211,United States,183083045
PaineWebber Group Inc,1989-04-06,Investment bank,Joint Venture,6211,United States,183600045
Goldman Sachs & Co,1989-08-15,Invest bank,Joint Venture,6211,United States,177226045
"NBD Bancorp,Detroit,Michigan",1989-11-27,Bank holding company,Joint Venture,6712,United States,1016962045
Chemical Banking Corp,1989-12-28,Bank holding company,Joint Venture,6021,United States,184592045
"MBNA America Bank,DE",1989-12-31,Commercial bank,Strategic Alliance,6021,United States,1042703045
Citibank NA,1990-01-01,Commercial bank (for US),Joint Venture,6021,United States,196202045
Xi Tech Inc,1990-02-26,Investment bank,Strategic Alliance,6211,United States,214104045
Sequor Group,1990-03-12,Investment bank,Strategic Alliance,6211,United States,214293045
Seitel Inc,1990-04-06,Develop seismic data bank,Joint Venture,1382,United States,214479045
Central Bancorporation Inc,1990-04-10,Bank holding company,Joint Venture,6022,United States,208187045
SBT,1990-05-08,Bank holding company,Strategic Alliance,6022,United States,214553045
"Mellon Bank NA,Pittsburgh,PA",1990-05-21,Commercial bank,Strategic Alliance,6021,United States,214586045
"Mellon Bank Corp,Pittsburgh,PA",1990-06-06,Bank holding co,Joint Venture,6021,United States,177419045
SJ Haupt & Co,1990-06-27,Investment banking firm,Strategic Alliance,6211,United States,176117045
Rodman & Renshaw Capital Group,1990-06-27,Investment bank,Joint Venture,6211,United States,176481045
"Mitsubishi Trust & Banking,NY",1990-07-09,Foreign bank,Joint Venture,6081,United States,176304045
Merecator Corp,1990-07-28,Investment bank,Joint Venture,6211,United States,177763045
Bankers Trust New York Corp,1990-07-30,Bank holding company,Joint Venture,6022,United States,182235045
"Amarillo Natl Bk,Amarillo,TX",1990-08-01,Commercial bank,Strategic Alliance,6021,United States,314491045
"Fleet/Norstar Financial Grp,RI",1990-09-01,Bank holding company,Strategic Alliance,6021,United States,232079045
CS First Boston Group Inc,1990-09-06,Investment bank,Joint Venture,6211,United States,176118045
Dysart State Bank,1990-09-21,Investment bank,Joint Venture,6211,United States,177225045
"First Chicago Corp,Illinois",1990-09-21,Bank holding company,Joint Venture,6021,United States,177234045
BankAmerica Corp,1990-09-24,Bank holding company,Joint Venture,6021,United States,176729045
"US Trust Corp,New York,NY",1990-09-26,Bank hldg co,Joint Venture,6022,United States,215160045
Bankers Trust New York Corp,1990-10-01,Bank holding company,Joint Venture,6022,United States,177701045
"CoreStates Financial Corp,PA",1990-10-02,Bank holding company,Joint Venture,6022,United States,176742045
Bks(State Street Boston Corp),1990-10-02,Bank,Joint Venture,6021,United States,176742045
Citibank NA,1990-10-04,Commercial bank (for US),Joint Venture,6021,United States,177376045
Goldman Sachs & Co,1990-10-04,Invest bank,Joint Venture,6211,United States,177376045
Salomon Brothers Inc(Salomon),1990-10-04,Investment bank,Joint Venture,6211,United States,177376045
Morgan Stanley & Co Intl Ltd,1990-10-04,Invest bank,Joint Venture,6211,United States,177376045
JP Morgan & Co Inc,1990-10-04,Investment bank,Joint Venture,6211,United States,177376045
Wells Fargo & Co,1990-10-16,Bank holding company,Joint Venture,6021,United States,177229045
CS First Boston Group Inc,1990-10-17,Investment bank,Joint Venture,6211,United States,177306045
Putnam Trust Co,1990-10-28,Commercial bank,Joint Venture,6021,United States,178397045
Merchant Banking Partnership,1990-10-28,Merchant bank,Joint Venture,6211,United States,178531045
Banco Portugues Do Atlantico,1990-10-31,Bank,Joint Venture,6029,United States,178404045
Codelco Inc,1990-10-31,Bank holding company,Joint Venture,6021,United States,181269045
TCF Financial Corp,1990-10-31,Commercial Banking,Joint Venture,6021,United States,205483045
Banc One Of Eastern Oh,1990-11-08,Bank,Joint Venture,6712,United States,179764045
"Oxford First,Philadelphia,PA",1990-11-14,Mortgage bankers,Joint Venture,6162,United States,180025045
Bankers Trust Co,1990-12-12,Commercial bank,Joint Venture,6021,United States,183069045
Citicorp,1990-12-31,Bank hldg co,Joint Venture,6021,United States,182092045
Independent Bankers Assn of Am,1991-01-03,Banking association,Joint Venture,8611,United States,184931045
PHH US Mortgage,1991-01-03,Mortgage bankers,Joint Venture,6162,United States,184931045
MaxCom Corp,1991-01-07,Bank,Strategic Alliance,6029,United States,216302045
State Street Bank & Trust Co,1991-01-09,Commercial bank,Joint Venture,6021,United States,216322045
"NBD Bancorp,Detroit,Michigan",1991-02-12,Bank holding company,Joint Venture,6712,United States,193815045
Chase Manhattan Bank,1991-02-14,Commercial bank,Joint Venture,6021,United States,193929045
"Security Pacific,Los Angeles",1991-03-05,Bank holding company,Joint Venture,6021,United States,195578045
Dysart State Bank,1991-03-18,Investment bank,Joint Venture,6211,United States,196639045
Salomon Brothers Inc(Salomon),1991-03-29,Investment bank,Joint Venture,6211,United States,226149045
"Union Bank,San Francisco,CA",1991-03-29,Coml bank holding co,Joint Venture,6021,United States,197695045
Harmonia Bancorp,1991-04-11,Bank holding company,Joint Venture,6036,United States,198664045
Cryo-Cell International Inc,1991-04-15,"Own,op umbilical cord banks",Joint Venture,8099,United States,205170045
Lazard Freres & Co LLC,1991-04-24,Investment bank,Joint Venture,6211,United States,206108045
Lazards Partners LP(Pearson),1991-04-24,Investment bank,Joint Venture,6211,United States,206108045
Veronis Suhler & Associates,1991-04-24,Media merchant bank,Joint Venture,6799,United States,206095045
Codelco Inc,1991-04-26,Bank holding company,Joint Venture,6021,United States,222761045
"Barnett Banks,Jacksonville,FL",1991-05-01,Commercial bank,Joint Venture,6022,United States,206438045
"Southeast Banking Corp,Miami",1991-05-01,Bank holding company,Joint Venture,6021,United States,206438045
Manufacturers Hanover Corp,1991-05-03,Bank holding company,Joint Venture,6022,United States,206788045
First Interstate Bank of CA,1991-05-07,Commercial bank,Joint Venture,6022,United States,206982045
"PNC Financial,Pittsburgh,PA",1991-05-07,"Commercial,investment bank",Joint Venture,6021,United States,206957045
Citicorp,1991-05-08,Bank hldg co,Joint Venture,6021,United States,207054045
"Mellon Bank Corp,Pittsburgh,PA",1991-06-04,Bank holding co,Joint Venture,6021,United States,209189045
Software Services of America,1991-06-10,Develop software for banking,Strategic Alliance,7372,United States,213044045
Bankers Trust New York Corp,1991-07-11,Bank holding company,Joint Venture,6022,United States,212769045
Na Banco Group,1991-07-16,Commercial bank,Joint Venture,6021,United States,219256045
Na Banco Group,1991-07-16,Commercial bank,Joint Venture,6021,United States,219255045
Salomon Brothers Inc(Salomon),1991-07-22,Investment bank,Joint Venture,6211,United States,219766045
"Long-Term Credit Bk Japan, NY",1991-07-26,US branch of foreign bank,Joint Venture,6081,United States,220597045
"Independence Bank of Encino,CA",1991-08-12,Commercial bank,Joint Venture,6022,United States,222565045
Matthews & Wright Group Inc,1991-08-14,Investment bank; holding co,Joint Venture,6211,United States,222782045
Ehrlich Bober Financial Corp,1991-08-15,Investment bank holding co,Joint Venture,6211,United States,222839045
Bankers Trust New York Corp,1991-08-26,Bank holding company,Joint Venture,6022,United States,223455045
Scudder Stevens & Clark Inc,1991-10-07,Investment bank,Joint Venture,6211,United States,227075045
"First Interstate Bancorp,CA",1991-10-07,Bank holding company,Joint Venture,6021,United States,227075045
Chase Manhattan Bank,1991-10-08,Commercial bank,Joint Venture,6021,United States,227226045
Salomon Inc,1991-11-07,Investment bank,Joint Venture,6211,United States,229338045
Citicorp,1991-11-18,Bank hldg co,Strategic Alliance,6021,United States,229648045
Donaldson Lufkin & Jenrette,1991-11-19,Investment bank,Strategic Alliance,6211,United States,229626045
Amsterdam Pacific Corp,1991-11-30,Investment bank,Joint Venture,6211,United States,231302045
O'Connor Partners,1991-12-01,Savings bank,Joint Venture,6035,United States,231233045
Patagonia,1992-01-01,Commercial bank,Strategic Alliance,6022,United States,232456045
Continental Bank Corp NA,1992-02-03,Bank holding company,Joint Venture,6022,United States,232001045
Morgan Guaranty Trust Co of NY,1992-03-06,Commercial bank,Strategic Alliance,6022,United States,232767045
Morgan Stanley & Co Intl Ltd,1992-03-25,Invest bank,Strategic Alliance,6211,United States,233188045
Continental Bank NA,1992-03-30,Commercial bank,Strategic Alliance,6021,United States,233265045
Gulf Associates Inc,1992-05-13,Investment bank,Joint Venture,6211,United States,234098045
"BANC ONE Corp,Columbus,Ohio",1992-06-02,Bank holding co,Joint Venture,6021,United States,234434045
UMB Bank & Trust NA,1992-06-09,Commercial bank,Joint Venture,6022,United States,234564045
Bankers Trust New York Corp,1992-06-10,Bank holding company,Joint Venture,6022,United States,234590045
Paragon Mortgage Corp,1992-06-22,Mortgage bank,Joint Venture,6162,United States,234765045
Houlihan Lokey Howard & Zukin,1992-07-07,Invest bank,Joint Venture,6211,United States,235063045
Dysart State Bank,1992-07-16,Investment bank,Joint Venture,6211,United States,235303045
"BANC ONE Corp,Columbus,Ohio",1992-07-22,Bank holding co,Joint Venture,6021,United States,235419045
"CoreStates Financial Corp,PA",1992-07-22,Bank holding company,Joint Venture,6022,United States,235419045
"PNC Financial,Pittsburgh,PA",1992-07-22,"Commercial,investment bank",Joint Venture,6021,United States,235419045
Society Corp,1992-07-22,Bank holding company,Joint Venture,6021,United States,235419045
"Liberty Natl Bancorp,Kentucky",1992-07-28,Bank holding company,Strategic Alliance,6021,United States,235525045
"NationsBank Corp,Charlotte,NC",1992-08-28,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,235932045
BankAmerica Corp,1992-09-14,Bank holding company,Strategic Alliance,6021,United States,236431045
Management Technologies Inc,1992-10-07,Develop banking software,Strategic Alliance,7372,United States,236500045
"NationsBank Corp,Charlotte,NC",1992-10-26,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,236704045
Summit Holding Corp,1992-10-29,Bank holding company,Joint Venture,6021,United States,306910045
Citicorp,1992-10-30,Bank hldg co,Strategic Alliance,6021,United States,308141045
Management Technologies Inc,1992-11-02,Develop banking software,Strategic Alliance,7372,United States,236884045
JP Morgan & Co Inc,1992-11-06,Investment bank,Joint Venture,6211,United States,306822045
"BANC ONE Corp,Columbus,Ohio",1992-11-30,Bank holding co,Joint Venture,6021,United States,309639045
"NationsBank Corp,Charlotte,NC",1992-11-30,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,321580045
